Word,AVG
i,1.7500568768538575e-06
the,5.7505304866275405e-06
good,1.1428571404690367e-05
like,1.5079999345367168e-05
u,2.8977947903408646e-05
little,3.585514535161505e-05
one,3.7112636865628125e-05
restaurant,4.050550828410766e-05
people,4.0911507380529574e-05
pretty,4.205568120205693e-05
service,4.303713025924498e-05
menu,4.383657580853962e-05
really,4.4841038518453096e-05
place,4.54877566915044e-05
know,4.64813614763915e-05
way,4.8202063608292804e-05
made,5.1993966592157865e-05
two,5.4570259208766716e-05
said,5.710043650998388e-05
time,5.78329279087233e-05
got,6.180183235057713e-05
food,6.213109662344905e-05
take,6.27667547701929e-05
also,6.489713810454787e-05
could,6.645622200046754e-05
need,6.833401380296982e-05
get,6.855184235089715e-05
even,6.856476785296828e-05
many,7.161271731741358e-05
thing,7.288629466692016e-05
took,7.524454519648725e-05
location,7.548879163553641e-05
would,7.587973065426262e-05
last,8.128099052500057e-05
told,8.233163181303443e-05
great,8.293249297355419e-05
go,8.357535365557956e-05
order,8.64790074635364e-05
clean,9.856099395847872e-05
old,0.00010683758734373351
look,0.00010764262398679776
back,0.00010857999092024537
room,0.000108855386265153
say,0.00010920607250883369
anything,0.00010982974004247692
coffee,0.0001137915118293522
line,0.0001165772954959734
inside,0.00011807766880933394
nice,0.00011897326086489886
done,0.00012083132476964355
review,0.00012250395383085177
outside,0.00012909885750979615
coming,0.00013239768798523793
half,0.00013259078746016067
cheese,0.00013389569525347798
bad,0.00013529968881082044
something,0.0001354325356494846
since,0.0001372306851041404
money,0.00013947001666033464
went,0.00014037495727840782
no,0.00014094430740887765
hard,0.00014230825405900005
high,0.00014402996121959098
star,0.00014486454253054658
music,0.00015060238575038927
well,0.0001519295049289995
care,0.00015496662641323916
whole,0.0001552795105931224
le,0.00015532774528276752
week,0.0001554242521165862
best,0.00015589375875886408
much,0.00015657568965199355
always,0.0001591406408559622
ordered,0.00016002080275237637
close,0.0001623112831957461
especially,0.00016436547803200585
red,0.00017059019761059063
several,0.0001709401759385528
wife,0.00017349054807865895
wait,0.00017413512983788677
love,0.00017581065207648231
stuff,0.00017608736662459484
night,0.00017901296758795592
first,0.00018783090561587073
better,0.00018810251628714107
come,0.00018989024365841033
friendly,0.0001910151264186779
hotel,0.00019155253416090146
make,0.0001925483782261079
never,0.00019413941679713537
going,0.00019639854218472623
bar,0.000203458800119488
actually,0.00020503357801869733
though,0.00020540442029631827
thought,0.00020585661704879956
expensive,0.00020716795109285821
want,0.00020959417414527197
came,0.00020960669442669715
extremely,0.00021003973185738825
right,0.0002119289516744626
try,0.00021240441839521482
chicken,0.00021293585382858014
absolutely,0.00021445406634613366
ago,0.00022002191710771148
day,0.00022004911528639937
lot,0.0002222623532250899
fun,0.00022425295099565352
table,0.00022457779420083135
definitely,0.00022526644792586866
making,0.00022758309140807656
see,0.00022930849209827417
kind,0.0002306139998407066
staff,0.00023096821906883088
seem,0.00023201862394155046
getting,0.0002347142338033821
plus,0.0002361831598331453
a,0.00024101031546549221
still,0.00024191109877766498
sure,0.0002492988474770926
bit,0.0002523500099653694
steak,0.0002523977889501329
delicious,0.00025362686481008266
think,0.0002553913113390915
side,0.0002595927643300755
sauce,0.0002623165843841773
happy,0.00026340435608022375
serve,0.00026434050746321485
find,0.00026983270464468013
town,0.00026985090123706363
experience,0.0002704164421106351
water,0.00027210883598575216
lunch,0.0002733407375082754
area,0.00027590012579590894
pizza,0.0002765677950027027
next,0.00027742617987895185
across,0.0002783961135962462
rest,0.00028058359184598535
around,0.00028211609727828076
pay,0.0002858163556938803
small,0.00029086678455145725
gone,0.0002910361131406641
end,0.00029336265856247563
eat,0.0002963665471855527
found,0.00030031032434296696
work,0.0003008027698312985
salad,0.0003017729167397269
tasted,0.00030193236027419387
crispy,0.0003098851048200446
eaten,0.0003109448238234357
rude,0.00031446550201789594
recommend,0.0003156378857884313
everything,0.00031676268721794656
amazing,0.00031693310323809037
ever,0.0003182483623103363
disappointed,0.00031842065383660327
glad,0.00031959043528173944
ca,0.0003254215256628606
long,0.00032715153291089155
cost,0.00032819169929279324
price,0.0003319435966709284
nothing,0.00033570815864284814
give,0.00033861115398791785
bland,0.000339097882543839
tender,0.00034013546580986045
fresh,0.00034013605568109287
tried,0.0003421215838034736
new,0.00034232507349300946
looking,0.00034275921479985785
enough,0.00034379767681444885
together,0.00034447046245486616
